"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 06:46:07 UTC 2026","Thu May 21 06:46:25 UTC 2026","18588","","","","","","Home Page - Header navigation links are present",""
"broken","Thu May 21 06:57:55 UTC 2026","Thu May 21 07:00:52 UTC 2026","177286","","","","","","Customer Signup - Password field validation on customer signup",""
"broken","Thu May 21 07:48:50 UTC 2026","Thu May 21 07:51:58 UTC 2026","187525","","","","","","Home Page - Navigate to travel documents page",""
"broken","Thu May 21 07:55:44 UTC 2026","Thu May 21 07:58:30 UTC 2026","166181","","","","","","Home Page - Navigate to become a supplier page",""
"broken","Thu May 21 07:55:12 UTC 2026","Thu May 21 07:57:58 UTC 2026","165937","","","","","","Home Page - Navigate to flight booking page",""
"broken","Thu May 21 07:57:31 UTC 2026","Thu May 21 08:00:16 UTC 2026","165709","","","","","","Home Page - Navigate to agent signup page",""
"passed","Thu May 21 07:00:51 UTC 2026","Thu May 21 07:00:58 UTC 2026","6304","","","","","","Home Page - Navigate to blogs page",""
"broken","Thu May 21 07:42:42 UTC 2026","Thu May 21 07:45:39 UTC 2026","177039","","","","","","Home Page - Navigate to customer signup page",""
"broken","Thu May 21 07:57:58 UTC 2026","Thu May 21 08:01:04 UTC 2026","185289","","","","","","Home Page - Navigate to file a claim page",""
"broken","Thu May 21 06:57:55 UTC 2026","Thu May 21 07:00:48 UTC 2026","173538","","","","","","Customer Signup - Last name field validation on customer signup",""
"broken","Thu May 21 08:03:02 UTC 2026","Thu May 21 08:05:47 UTC 2026","165402","","","","","","Home Page - Navigate to terms of use page",""
"failed","Thu May 21 07:55:01 UTC 2026","Thu May 21 07:55:12 UTC 2026","11235","","","","","","Home Page - Home page loads successfully",""
"failed","Thu May 21 08:01:04 UTC 2026","Thu May 21 08:01:15 UTC 2026","11034","","","","","","Home Page - All quick search tabs are visible",""
"broken","Thu May 21 08:00:16 UTC 2026","Thu May 21 08:03:02 UTC 2026","165230","","","","","","Home Page - Navigate to contact us page",""
