"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 12 06:02:11 UTC 2026","Tue May 12 06:02:32 UTC 2026","20437","","","","","","Home Page - Navigate to travel insurance page",""
"passed","Tue May 12 06:11:13 UTC 2026","Tue May 12 06:11:34 UTC 2026","21863","","","","","","Agent Signup - Email field validation on agent signup",""
"passed","Tue May 12 06:01:51 UTC 2026","Tue May 12 06:02:11 UTC 2026","19976","","","","","","Home Page - Navigate to cars booking page",""
"passed","Tue May 12 06:01:09 UTC 2026","Tue May 12 06:01:35 UTC 2026","26035","","","","","","Customer Signup - First name field validation on customer signup",""
"passed","Tue May 12 06:03:26 UTC 2026","Tue May 12 06:03:47 UTC 2026","20300","","","","","","Home Page - Change language to Russian",""
"passed","Tue May 12 06:01:10 UTC 2026","Tue May 12 06:01:32 UTC 2026","22238","","","","","","Home Page - Header navigation links are present",""
"passed","Tue May 12 06:11:09 UTC 2026","Tue May 12 06:11:32 UTC 2026","22621","","","","","","Agent Signup - Last name field validation on agent signup",""
"passed","Tue May 12 06:02:28 UTC 2026","Tue May 12 06:02:46 UTC 2026","17963","","","","","","Home Page - Navigate to about us page",""
"passed","Tue May 12 06:01:52 UTC 2026","Tue May 12 06:02:11 UTC 2026","18788","","","","","","Home Page - Navigate to disruptions page",""
"passed","Tue May 12 06:04:06 UTC 2026","Tue May 12 06:04:24 UTC 2026","18095","","","","","","Home Page - Navigate to careers page",""
"passed","Tue May 12 06:02:46 UTC 2026","Tue May 12 06:03:07 UTC 2026","20816","","","","","","Home Page - Navigate to privacy policy page",""
"passed","Tue May 12 06:04:36 UTC 2026","Tue May 12 06:04:48 UTC 2026","12289","","","","","","Home Page - Navigate to affiliate program page",""
"passed","Tue May 12 06:10:40 UTC 2026","Tue May 12 06:11:09 UTC 2026","29905","","","","","","Agent Signup - First name field validation on agent signup",""
"passed","Tue May 12 06:02:52 UTC 2026","Tue May 12 06:03:12 UTC 2026","20213","","","","","","Home Page - Navigate to best travel deals page",""
"passed","Tue May 12 06:03:48 UTC 2026","Tue May 12 06:04:06 UTC 2026","18214","","","","","","Home Page - Navigate to how to book page",""
"passed","Tue May 12 06:03:30 UTC 2026","Tue May 12 06:03:48 UTC 2026","17829","","","","","","Home Page - Navigate to file a claim page",""
"passed","Tue May 12 06:03:14 UTC 2026","Tue May 12 06:03:33 UTC 2026","18791","","","","","","Home Page - Navigate to blogs page",""
"passed","Tue May 12 06:01:33 UTC 2026","Tue May 12 06:01:53 UTC 2026","19667","","","","","","Home Page - Navigate to tours booking page",""
"passed","Tue May 12 06:03:07 UTC 2026","Tue May 12 06:03:26 UTC 2026","19114","","","","","","Home Page - Navigate to terms of use page",""
"passed","Tue May 12 06:01:35 UTC 2026","Tue May 12 06:01:58 UTC 2026","22353","","","","","","Customer Signup - Password field validation on customer signup",""
"passed","Tue May 12 06:03:33 UTC 2026","Tue May 12 06:03:54 UTC 2026","21156","","","","","","Home Page - Change currency to NGN",""
"passed","Tue May 12 06:01:33 UTC 2026","Tue May 12 06:01:52 UTC 2026","19224","","","","","","Home Page - Navigate to FAQ page",""
"passed","Tue May 12 06:01:35 UTC 2026","Tue May 12 06:01:57 UTC 2026","21308","","","","","","Customer Signup - Last name field validation on customer signup",""
"passed","Tue May 12 06:03:54 UTC 2026","Tue May 12 06:04:13 UTC 2026","19103","","","","","","Home Page - Navigate to customer signup page",""
"passed","Tue May 12 06:04:24 UTC 2026","Tue May 12 06:04:43 UTC 2026","18670","","","","","","Home Page - Navigate to investors page",""
"passed","Tue May 12 06:02:11 UTC 2026","Tue May 12 06:02:35 UTC 2026","23960","","","","","","Home Page - Navigate to contact us page",""
"passed","Tue May 12 06:01:09 UTC 2026","Tue May 12 06:01:35 UTC 2026","25347","","","","","","Customer Signup - Confirm password field validation on customer signup",""
"passed","Tue May 12 06:03:12 UTC 2026","Tue May 12 06:03:30 UTC 2026","18136","","","","","","Home Page - Navigate to refund policy page",""
"passed","Tue May 12 06:02:35 UTC 2026","Tue May 12 06:02:52 UTC 2026","16843","","","","","","Home Page - Navigate to cookies policy page",""
"passed","Tue May 12 06:10:40 UTC 2026","Tue May 12 06:11:09 UTC 2026","29235","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"passed","Tue May 12 06:01:10 UTC 2026","Tue May 12 06:01:33 UTC 2026","22996","","","","","","Home Page - Home page loads successfully",""
"passed","Tue May 12 06:03:47 UTC 2026","Tue May 12 06:04:06 UTC 2026","19751","","","","","","Home Page - Navigate to login page",""
"passed","Tue May 12 06:01:10 UTC 2026","Tue May 12 06:01:33 UTC 2026","23062","","","","","","Home Page - Navigate to accessibility page",""
"broken","Tue May 12 06:01:25 UTC 2026","Tue May 12 06:01:25 UTC 2026","0","","runner.cucumber.CucumberRunner","","runner.cucumber.CucumberRunner","","CucumberRunner",""
"passed","Tue May 12 06:01:09 UTC 2026","Tue May 12 06:01:37 UTC 2026","27169","","","","","","Customer Signup - Successful customer signup",""
"passed","Tue May 12 06:01:37 UTC 2026","Tue May 12 06:01:58 UTC 2026","21389","","","","","","Customer Signup - Email field validation on customer signup",""
"passed","Tue May 12 06:04:06 UTC 2026","Tue May 12 06:04:28 UTC 2026","21558","","","","","","Home Page - Navigate to agent signup page",""
"passed","Tue May 12 06:02:11 UTC 2026","Tue May 12 06:02:28 UTC 2026","17819","","","","","","Home Page - Navigate to stays booking page",""
"passed","Tue May 12 06:11:09 UTC 2026","Tue May 12 06:11:34 UTC 2026","24651","","","","","","Agent Signup - Password field validation on agent signup",""
"passed","Tue May 12 06:02:32 UTC 2026","Tue May 12 06:02:52 UTC 2026","20227","","","","","","Home Page - Navigate to travel documents page",""
"passed","Tue May 12 06:04:28 UTC 2026","Tue May 12 06:04:47 UTC 2026","18929","","","","","","Home Page - Download app section is displayed",""
"passed","Tue May 12 06:10:40 UTC 2026","Tue May 12 06:11:13 UTC 2026","32935","","","","","","Agent Signup - Successful agent signup",""
"passed","Tue May 12 06:04:13 UTC 2026","Tue May 12 06:04:36 UTC 2026","22800","","","","","","Home Page - All quick search tabs are visible",""
"passed","Tue May 12 06:02:52 UTC 2026","Tue May 12 06:03:14 UTC 2026","22352","","","","","","Home Page - Navigate to become a supplier page",""
"passed","Tue May 12 06:01:53 UTC 2026","Tue May 12 06:02:11 UTC 2026","18084","","","","","","Home Page - Navigate to flight booking page",""
"passed","Tue May 12 06:01:32 UTC 2026","Tue May 12 06:01:51 UTC 2026","18063","","","","","","Home Page - Navigate to visa booking page",""
