"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 19 06:55:41 UTC 2026","Tue May 19 06:58:38 UTC 2026","177334","","","","","","Customer Signup - Last name field validation on customer signup",""
"passed","Tue May 19 07:04:39 UTC 2026","Tue May 19 07:04:46 UTC 2026","6591","","","","","","Home Page - Download app section is displayed",""
"broken","Tue May 19 06:55:29 UTC 2026","Tue May 19 06:58:22 UTC 2026","173331","","","","","","Agent Signup - First name field validation on agent signup",""
"broken","Tue May 19 07:46:31 UTC 2026","Tue May 19 07:49:44 UTC 2026","193177","","","","","","Home Page - Change currency to NGN",""
"broken","Tue May 19 06:58:36 UTC 2026","Tue May 19 07:01:29 UTC 2026","173344","","","","","","Customer Signup - Confirm password field validation on customer signup",""
"broken","Tue May 19 07:46:12 UTC 2026","Tue May 19 07:49:29 UTC 2026","197146","","","","","","Home Page - Navigate to visa booking page",""
"broken","Tue May 19 06:58:38 UTC 2026","Tue May 19 07:01:32 UTC 2026","173912","","","","","","Customer Signup - First name field validation on customer signup",""
"broken","Tue May 19 07:46:02 UTC 2026","Tue May 19 07:49:09 UTC 2026","187553","","","","","","Home Page - Navigate to travel documents page",""
"broken","Tue May 19 06:58:25 UTC 2026","Tue May 19 07:01:18 UTC 2026","173123","","","","","","Agent Signup - Successful agent signup",""
"broken","Tue May 19 07:43:23 UTC 2026","Tue May 19 07:46:12 UTC 2026","168581","","","","","","Home Page - Navigate to stays booking page",""
"broken","Tue May 19 08:04:12 UTC 2026","Tue May 19 08:07:15 UTC 2026","183217","","","","","","Home Page - Navigate to how to book page",""
"broken","Tue May 19 07:55:37 UTC 2026","Tue May 19 07:58:43 UTC 2026","185966","","","","","","Home Page - Navigate to FAQ page",""
"broken","Tue May 19 08:00:15 UTC 2026","Tue May 19 08:03:00 UTC 2026","165523","","","","","","Home Page - Navigate to terms of use page",""
"broken","Tue May 19 07:54:43 UTC 2026","Tue May 19 07:57:29 UTC 2026","166113","","","","","","Home Page - Navigate to agent signup page",""
"broken","Tue May 19 07:51:58 UTC 2026","Tue May 19 07:54:43 UTC 2026","165681","","","","","","Home Page - Navigate to about us page",""
"broken","Tue May 19 06:58:38 UTC 2026","Tue May 19 07:01:33 UTC 2026","174661","","","","","","Customer Signup - Email field validation on customer signup",""
"passed","Tue May 19 06:58:27 UTC 2026","Tue May 19 06:58:33 UTC 2026","6174","","","","","","Home Page - Navigate to blogs page",""
"broken","Tue May 19 08:01:25 UTC 2026","Tue May 19 08:04:12 UTC 2026","166696","","","","","","Home Page - Navigate to cookies policy page",""
"broken","Tue May 19 07:39:57 UTC 2026","Tue May 19 07:43:23 UTC 2026","206227","","","","","","Home Page - Navigate to best travel deals page",""
"broken","Tue May 19 06:58:26 UTC 2026","Tue May 19 07:01:19 UTC 2026","172982","","","","","","Agent Signup - Last name field validation on agent signup",""
"broken","Tue May 19 06:55:41 UTC 2026","Tue May 19 06:58:36 UTC 2026","175008","","","","","","Customer Signup - Successful customer signup",""
"broken","Tue May 19 07:55:03 UTC 2026","Tue May 19 07:58:08 UTC 2026","184836","","","","","","Home Page - Navigate to file a claim page",""
"broken","Tue May 19 07:49:44 UTC 2026","Tue May 19 07:52:51 UTC 2026","186681","","","","","","Home Page - Navigate to affiliate program page",""
"passed","Tue May 19 06:43:39 UTC 2026","Tue May 19 06:43:58 UTC 2026","19720","","","","","","Home Page - Home page loads successfully",""
"passed","Tue May 19 06:43:39 UTC 2026","Tue May 19 06:43:58 UTC 2026","19500","","","","","","Home Page - Header navigation links are present",""
"broken","Tue May 19 06:58:22 UTC 2026","Tue May 19 07:01:14 UTC 2026","172363","","","","","","Agent Signup - Confirm password field validation on agent signup",""
"broken","Tue May 19 07:39:57 UTC 2026","Tue May 19 07:43:22 UTC 2026","204842","","","","","","Home Page - Navigate to accessibility page",""
"broken","Tue May 19 07:49:29 UTC 2026","Tue May 19 07:52:17 UTC 2026","167966","","","","","","Home Page - Navigate to privacy policy page",""
"passed","Tue May 19 07:01:37 UTC 2026","Tue May 19 07:01:43 UTC 2026","5494","","","","","","Home Page - Navigate to login page",""
"broken","Tue May 19 08:01:51 UTC 2026","Tue May 19 08:04:57 UTC 2026","185281","","","","","","Home Page - Navigate to travel insurance page",""
"broken","Tue May 19 07:52:51 UTC 2026","Tue May 19 07:55:37 UTC 2026","166213","","","","","","Home Page - Navigate to become a supplier page",""
"broken","Tue May 19 07:52:17 UTC 2026","Tue May 19 07:55:03 UTC 2026","165967","","","","","","Home Page - Navigate to flight booking page",""
"broken","Tue May 19 07:43:22 UTC 2026","Tue May 19 07:46:31 UTC 2026","189451","","","","","","Home Page - Navigate to investors page",""
